Id	Longitude	Latitude	Population	ClinicWalkability
70030076261487403	83.013576	55.076058	3.06	4
141373143554107	83.00562	55.070729	3.06	3
141373143558682	82.985202	55.006653	3.06	3
141373143677548	82.979536	54.942319	3.06	4
141373143571633	83.120266	54.903615	3.06	5
141373143535404	82.920397	54.939227	245.95	3
141373143545234	83.070541	54.914416	3.06	3
141373143642163	82.908473	55.103096	3.06	5
70030076202699677	82.981915	55.052059	3.06	2
70030076181370309	82.792624	55.021641	3.06	1
70030076325495230	82.986324	55.16082	3.06	5
70030076261500274	83.025842	55.079324	3.06	5
141373143609631	82.85356	54.980564	3.06	3
141373143626696	82.981387	55.021398	3.06	3
141373143611335	82.882307	54.967185	3.06	2
141373143621033	83.138684	54.966893	3.06	5
141373143560556	82.950175	54.864528	3.06	4
141373143549633	82.98127	54.987265	3.06	3
141373143516851	82.978711	55.096461	13.66	4
70030076261492744	83.022502	55.077483	3.06	4
141373143567986	82.824912	54.992232	3.06	3
141373143630108	82.994357	54.993862	3.06	4
141373143604278	83.065758	54.8868	3.06	4
141373143543966	83.122422	54.944433	3.06	2
141373143628965	82.945851	55.006688	3.06	3
141373143567766	82.84933	54.978925	3.06	4
141373143622333	82.975822	54.951931	3.06	3
70030076307551945	83.052668	54.890566	3.06	5
141373143639522	83.013215	55.057371	3.06	4
141373143676964	83.03288	55.046858	3.06	4
141373143518955	82.914132	55.04267	68.32	2
141373143609001	82.851073	54.978073	3.06	4
70030076130358670	83.062195	54.980076	3.06	4
141373143518877	82.913187	55.040286	109.31	1
141373143542931	83.125003	54.95749	3.06	4
141373143629875	82.991043	54.995399	3.06	4
141373143566649	82.952208	54.9704	3.06	3
141373143626676	82.984309	54.999003	3.06	3
141373143623239	83.110113	54.943378	3.06	3
70030076178116132	83.042893	54.886369	3.06	5
70030076250677812	83.046016	54.877811	3.06	5
70030076327252743	82.945346	54.850949	3.06	5
70030076262893707	83.014444	55.082582	3.06	4
70030076262899965	83.024951	55.086925	3.06	5
141373143678053	82.895647	55.012672	3.06	1
141373143618552	82.874117	55.017148	3.06	4
141373143632171	82.96265	55.023671	3.06	3
141373143620144	83.141821	54.942135	3.06	3
141373143610683	82.82724	54.979379	3.06	2
141373143643285	82.893908	55.116905	3.06	4
141373143625439	83.108544	54.959517	3.06	4
141373143637338	83.040941	55.070442	3.06	5
141373143619524	82.842875	55.031643	3.06	3
141373143630576	82.930111	55.012622	3.06	3
141373143615629	82.841112	54.952096	3.06	3
70030076129264375	83.048679	54.958677	3.06	4
141373143524337	82.993048	55.127197	22.2	5
70030076249964004	83.044364	54.876594	3.06	5
70030076262946465	83.007097	55.08254	3.06	4
70030076321566247	82.947301	54.861455	3.06	4
141373143677132	82.994487	55.061479	3.06	2
141373143632435	82.961743	55.022772	3.06	3
141373143614392	82.975857	54.957091	3.06	3
141373143618258	82.849305	55.031912	3.06	3
141373143519639	82.934346	55.047128	136.64	1
70030076251115440	83.042728	54.874659	3.06	5
70030076249769266	83.04085	54.867131	3.06	5
141373143528754	82.826638	54.989541	95.65	2
141373143638119	82.898406	55.069438	3.06	3
70030076132279363	83.096888	54.81823	3.06	3
141373143636812	82.872422	55.040709	3.06	3
141373143637226	83.013633	55.073059	3.06	3
141373143618341	82.808764	55.018721	3.06	3
141373143620262	82.982061	54.943011	3.06	4
141373170882366	82.835221	54.986857	3.06	3
141373143559115	82.963386	55.015476	3.06	3
141373143565526	82.789802	55.012014	3.06	3
141373143620907	83.105644	54.94212	3.06	3
70030076277465166	82.871743	54.931835	3.06	4
70030076205476508	83.05813	54.928731	3.06	4
70030076261933805	83.021378	55.078824	3.06	4
141373143640016	82.950435	55.062265	3.06	3
141373143627551	82.992979	55.000471	3.06	4
70030076129549111	82.783738	55.008993	3.06	3
141373143566857	82.962007	54.965264	3.06	2
141373143623323	83.063271	54.9803	3.06	4
141373143639697	82.887139	55.074429	3.06	3
141373143607678	82.841084	54.977574	3.06	3
141373143586162	82.809535	54.993943	3.06	4
141373143616627	82.8445	54.95551	3.06	3
141373143616602	82.810551	54.995537	3.06	4
141373143534155	82.984131	55.000456	13.66	3
141373143520340	82.961509	55.042099	92.23	1
70030076330657409	82.941094	54.852941	3.06	5
141373143603659	83.074676	54.886849	3.06	4
141373143615832	82.955588	54.94537	3.06	1
141373143633267	82.962483	55.006694	3.06	2
141373164231357	82.812711	54.99511	3.06	3
141373143626368	82.772884	55.000296	3.06	5
141373143639321	82.89771	55.075589	3.06	2
